period;cmd;tot_nb_nodes;nb_main_exp;nb_main_imp;nb_balanced;tot_net_wgt;tot_primary_value;src_main_exp_net_wgt;src_main_exp_primary_value;src_main_imp_net_wgt;src_main_imp_primary_value;src_balanced_net_wgt;src_balanced_primary_value;tgt_main_exp_net_wgt;tgt_main_exp_primary_value;tgt_main_imp_net_wgt;tgt_main_imp_primary_value;tgt_balanced_net_wgt;tgt_balanced_primary_value
2010;07;224;15;152;57;40166561935.84398;26195106498.79408;14706356872.406998;10416784697.854498;2253439817.0505;1581436512.4854991;23206765246.386497;14196885288.453983;2138363882.074;1079030662.6825004;19983504393.781994;13366508391.531982;18044693659.988003;11749567444.579485
2011;07;225;15;154;56;42218484484.94354;30133461884.220993;16216320158.4;12231247317.207493;1325137898.7740006;967052478.3159997;24677026427.769493;16935162088.697536;2270891425.4585004;1329374910.9160008;17007527829.109503;12133877295.579994;22940065230.375492;16670209677.725018
2012;07;226;16;148;62;44132254065.048;30603970843.501987;16413057103.215508;12785136715.264507;2516273252.4704995;1780595658.612499;25202923709.361984;16038238469.625;2301098203.4265013;1409802084.0715;21719807513.288006;15622701172.531015;20111348348.33351;13571467586.8995
2013;07;229;14;159;56;45396317937.291534;32096347383.403465;14659763942.001007;12302741056.357998;2272339037.4539986;1758717597.0575004;28464214957.83651;18034888729.988003;2301942057.6470003;1346748351.1105003;22828163224.685474;16781716303.615997;20266212654.95901;13967882728.677011
2014;07;226;14;152;60;51959022733.07794;33894688776.110035;17023840837.500504;13898901798.213501;2872561470.7100005;1680605817.2600012;32062620424.867485;18315181160.636505;2357135695.5285;1595041644.8465018;27744488787.51149;17546536467.04249;21857398250.03799;14753110664.220997
2015;07;228;15;156;57;49548737599.420975;30877089777.790997;17560770029.652508;13331958041.692001;2208273045.4940004;1491950544.0819986;29779694524.27452;16053181192.016996;2491812417.1999974;1532188752.1155;26930070634.41852;17235701411.36399;20126854547.802498;12109199614.311497
2016;07;229;19;159;51;50151999219.084595;29964339744.707924;19621265041.978504;12976379689.15202;2974223199.0585012;1671082551.1419995;27556510978.047516;15316877504.414005;2868599333.163999;1649790449.7910008;27418107585.251526;16508759041.593493;19865292300.669;11805790253.323483
2017;07;227;18;159;50;55378041201.996475;31917834581.28556;28439893633.87048;16590279885.882505;2915978020.8205028;1613709490.3895009;24022169547.305542;13713845205.01354;4580480965.6220045;2527819095.0640016;30307236019.325985;17558481034.155994;20490324217.04852;11831534452.065521
2018;07;228;15;156;57;114002032769.7141;36343103039.141975;23956288172.790497;14820821148.363491;59420955910.433;1956788741.9124963;30624788686.49053;19565493148.86598;3206757431.3844986;1770953456.489;88669768060.54901;20622071478.772556;22125507277.78055;13950078103.880508
2019;07;226;16;157;53;66919138983.37496;32644941760.479897;31076752730.439983;13615511578.520012;5930829876.777497;1780064444.7080007;29911556376.157505;17249365737.251995;4241765357.588999;1720000705.4390008;39414102168.06953;17965897474.45097;23263271457.716522;12959043580.59001
2020;07;227;13;162;52;59619609162.17807;32923883877.08054;25838339996.44252;13104297104.892502;4128577974.9710016;1710704401.5149968;29652691190.764503;18108882370.673035;4495040547.219498;1681896630.5419989;31958377952.084526;18104242760.128082;23166190662.874;13137744486.410524
2021;07;226;15;159;52;85662106859.45863;47195422831.68418;35620982091.693504;23878044670.175007;3356170854.8834953;2152877555.193497;46684953912.88161;21164500606.315536;4976872248.204996;3318304231.733998;52114866944.22853;26723646480.05799;28570367667.024998;17153472119.891989
2022;07;227;13;155;59;61348747563.35097;48070658031.055595;24743409718.40547;19129623949.621483;2185846586.6155024;1855316014.918001;34419491258.3301;27085718066.516003;2534536225.279;1852923420.6919994;29841160212.97407;25002647782.511;28973051125.098053;21215086827.852474
2023;07;228;15;159;54;56347980898.11546;38434200009.13892;22290805662.653522;14316688209.744482;1885646085.9865024;1465137287.1205008;32171529149.475487;22652374512.27401;2408104279.0485005;1635773898.5575004;26760112866.896;18582576025.17055;27179763752.17104;18215850085.411007
